#Time, Throughput
0,0
1000000000,0
2000000000,0
3000000000,0
4000000000,0
5000000000,0
6000000000,0
7000000000,0
8000000000,0
9000000000,0
10000000000,0
11000000000,0
12000000000,0
13000000000,56544.0
14000000000,148056.0
15000000000,207576.0
16000000000,250728.0
17000000000,310992.0
18000000000,357120.0
19000000000,412920.0
20000000000,452352.0
21000000000,514104.0
22000000000,560232.0
23000000000,615288.0
24000000000,661416.0
25000000000,711264.0
26000000000,712008.0
27000000000,648768.0
28000000000,630912.0
29000000000,563208.0
30000000000,53568.0
31000000000,8928.0
32000000000,0
33000000000,9672.0
34000000000,0
35000000000,0
36000000000,0
37000000000,0
38000000000,0
39000000000,0
40000000000,0
41000000000,0
42000000000,0
43000000000,0
44000000000,0
45000000000,0
46000000000,0
47000000000,0
48000000000,0
49000000000,0
