#Time,Throughput1,Throughput2,Throughput3,Throughput4,Throughput5,TotalThroughput
0,0.117552,0.093744,0.101184,0.194928,0.168144,0.675552
1000000000,0.236592,0.15624,0.14136,0.266352,0.197904,0.998448
2000000000,0.236592,0.165168,0.139872,0.261888,0.196416,0.999936
3000000000,0.23808,0.162192,0.135408,0.261888,0.202368,0.999936
4000000000,0.23064,0.160704,0.138384,0.266352,0.203856,0.999936
5000000000,0.249984,0.15624,0.138384,0.258912,0.196416,0.999936
6000000000,0.011904,0.008928,0.005952,0.013392,0.961248,1.001424
7000000000,0.0,0.002976,0.0,0.001488,0.995472,0.999936
8000000000,0.001488,0.0,0.001488,0.0,0.99696,0.999936
9000000000,0.001488,0.0,0.002976,0.002976,0.992496,0.999936
10000000000,0.0,0.001488,0.0,0.001488,0.99696,0.999936
11000000000,0.199392,0.13392,0.11904,0.218736,0.328848,0.999936
12000000000,0.244032,0.15624,0.139872,0.255936,0.203856,0.999936
13000000000,0.242544,0.160704,0.136896,0.257424,0.202368,0.999936
14000000000,0.241056,0.160704,0.138384,0.2604,0.199392,0.999936
15000000000,0.233616,0.165168,0.14136,0.263376,0.196416,0.999936
16000000000,0.032736,0.026784,0.019344,0.035712,0.88536,0.999936
17000000000,0.002976,0.0,0.0,0.0,0.99696,0.999936
18000000000,0.002976,0.0,0.002976,0.001488,0.992496,0.999936
19000000000,0.0,0.0,0.0,0.002976,0.99696,0.999936
20000000000,0.0,0.0,0.0,0.001488,0.998448,0.999936
21000000000,0.199392,0.132432,0.114576,0.224688,0.328848,0.999936
22000000000,0.251472,0.162192,0.136896,0.255936,0.19344,0.999936
23000000000,0.242544,0.159216,0.13392,0.258912,0.205344,0.999936
24000000000,0.232128,0.168144,0.139872,0.257424,0.202368,0.999936
25000000000,0.233616,0.15624,0.142848,0.261888,0.205344,0.999936
26000000000,0.035712,0.020832,0.025296,0.038688,0.879408,0.999936
27000000000,0.001488,0.001488,0.0,0.0,0.99696,0.999936
28000000000,0.0,0.001488,0.001488,0.0,0.99696,0.999936
29000000000,0.0,0.0,0.001488,0.001488,0.998448,1.001424
30000000000,0.002976,0.001488,0.002976,0.0,0.992496,0.999936
31000000000,0.203856,0.138384,0.113088,0.227664,0.316944,0.999936
32000000000,0.236592,0.165168,0.139872,0.257424,0.20088,0.999936
33000000000,0.241056,0.153264,0.144336,0.255936,0.205344,0.999936
34000000000,0.239568,0.172608,0.138384,0.261888,0.187488,0.999936
35000000000,0.241056,0.157728,0.145824,0.254448,0.20088,0.999936
36000000000,0.035712,0.026784,0.016368,0.038688,0.882384,0.999936
37000000000,0.001488,0.0,0.001488,0.001488,0.995472,0.999936
38000000000,0.001488,0.001488,0.001488,0.001488,0.993984,0.999936
39000000000,0.001488,0.001488,0.0,0.002976,0.993984,0.999936
40000000000,0.001488,0.0,0.0,0.0,0.998448,0.999936
41000000000,0.205344,0.12648,0.120528,0.220224,0.32736,0.999936
42000000000,0.23064,0.165168,0.14136,0.258912,0.203856,0.999936
43000000000,0.248496,0.16368,0.14136,0.254448,0.191952,0.999936
44000000000,0.23808,0.160704,0.142848,0.258912,0.199392,0.999936
45000000000,0.244032,0.159216,0.142848,0.257424,0.196416,0.999936
46000000000,0.23808,0.166656,0.138384,0.258912,0.197904,0.999936
47000000000,0.244032,0.165168,0.135408,0.257424,0.197904,0.999936
48000000000,0.244032,0.157728,0.139872,0.258912,0.199392,0.999936
49000000000,0.236592,0.165168,0.144336,0.247008,0.206832,0.999936
