#Time,Throughput1,Throughput2,Throughput3,Throughput4,Throughput5,TotalThroughput
0,0.117552,0.090768,0.095232,0.20088,0.17112,0.675552
1000000000,0.23064,0.160704,0.135408,0.270816,0.20088,0.998448
2000000000,0.23808,0.159216,0.14136,0.257424,0.203856,0.999936
3000000000,0.23808,0.15624,0.142848,0.263376,0.199392,0.999936
4000000000,0.23808,0.169632,0.14136,0.257424,0.19344,0.999936
5000000000,0.244032,0.159216,0.139872,0.255936,0.20088,0.999936
6000000000,0.008928,0.004464,0.004464,0.010416,0.971664,0.999936
7000000000,0.002976,0.0,0.001488,0.001488,0.993984,0.999936
8000000000,0.001488,0.0,0.0,0.00744,0.991008,0.999936
9000000000,0.001488,0.004464,0.0,0.002976,0.991008,0.999936
10000000000,0.001488,0.0,0.0,0.001488,0.99696,0.999936
11000000000,0.20088,0.129456,0.117552,0.220224,0.331824,0.999936
12000000000,0.239568,0.165168,0.138384,0.254448,0.202368,0.999936
13000000000,0.236592,0.157728,0.142848,0.258912,0.203856,0.999936
14000000000,0.23808,0.16368,0.13392,0.258912,0.205344,0.999936
15000000000,0.247008,0.160704,0.14136,0.249984,0.20088,0.999936
16000000000,0.02976,0.019344,0.016368,0.032736,0.903216,1.001424
17000000000,0.0,0.001488,0.001488,0.001488,0.995472,0.999936
18000000000,0.001488,0.0,0.001488,0.004464,0.992496,0.999936
19000000000,0.0,0.0,0.0,0.0,0.999936,0.999936
20000000000,0.0,0.0,0.001488,0.004464,0.993984,0.999936
21000000000,0.194928,0.135408,0.117552,0.226176,0.325872,0.999936
22000000000,0.25296,0.159216,0.13392,0.254448,0.199392,0.999936
23000000000,0.236592,0.160704,0.144336,0.2604,0.197904,0.999936
24000000000,0.241056,0.160704,0.142848,0.258912,0.196416,0.999936
25000000000,0.241056,0.162192,0.14136,0.2604,0.194928,0.999936
26000000000,0.038688,0.02976,0.023808,0.041664,0.866016,0.999936
27000000000,0.001488,0.001488,0.002976,0.001488,0.992496,0.999936
28000000000,0.004464,0.001488,0.002976,0.001488,0.98952,0.999936
29000000000,0.001488,0.001488,0.0,0.0,0.99696,0.999936
30000000000,0.0,0.001488,0.001488,0.0,0.99696,0.999936
31000000000,0.203856,0.132432,0.114576,0.229152,0.31992,0.999936
32000000000,0.241056,0.15624,0.136896,0.269328,0.196416,0.999936
33000000000,0.24552,0.160704,0.135408,0.258912,0.199392,0.999936
34000000000,0.241056,0.162192,0.139872,0.257424,0.199392,0.999936
35000000000,0.23808,0.162192,0.14136,0.249984,0.20832,0.999936
36000000000,0.032736,0.025296,0.020832,0.038688,0.882384,0.999936
37000000000,0.001488,0.002976,0.0,0.0,0.995472,0.999936
38000000000,0.001488,0.0,0.0,0.0,0.998448,0.999936
39000000000,0.0,0.0,0.001488,0.001488,0.99696,0.999936
40000000000,0.002976,0.0,0.001488,0.0,0.99696,1.001424
41000000000,0.203856,0.135408,0.114576,0.214272,0.331824,0.999936
42000000000,0.236592,0.160704,0.139872,0.263376,0.199392,0.999936
43000000000,0.239568,0.172608,0.138384,0.244032,0.205344,0.999936
44000000000,0.247008,0.15624,0.144336,0.2604,0.191952,0.999936
45000000000,0.235104,0.162192,0.130944,0.26784,0.203856,0.999936
46000000000,0.224688,0.157728,0.145824,0.26784,0.203856,0.999936
47000000000,0.239568,0.165168,0.136896,0.251472,0.206832,0.999936
48000000000,0.241056,0.159216,0.136896,0.263376,0.199392,0.999936
49000000000,0.239568,0.154752,0.14136,0.264864,0.199392,0.999936
