#Time, Throughput
0,0
1000000000,0
2000000000,0
3000000000,5208.0
4000000000,12648.0
5000000000,7440.0
6000000000,459792.0
7000000000,433008.0
8000000000,425568.0
9000000000,427056.0
10000000000,429288.0
11000000000,8928.0
12000000000,2976.0
13000000000,10416.0
14000000000,0
15000000000,4464.0
16000000000,468720.0
17000000000,438216.0
18000000000,434496.0
19000000000,421848.0
20000000000,438960.0
21000000000,11160.0
22000000000,0
23000000000,0
24000000000,0
25000000000,6696.0
26000000000,450864.0
27000000000,427800.0
28000000000,430032.0
29000000000,424080.0
30000000000,433008.0
31000000000,8184.0
32000000000,0
33000000000,0
34000000000,0
35000000000,16368.0
36000000000,456816.0
37000000000,426312.0
38000000000,418128.0
39000000000,430032.0
40000000000,427056.0
41000000000,5952.0
42000000000,5208.0
43000000000,0
44000000000,8184.0
45000000000,5208.0
46000000000,0
47000000000,0
48000000000,1488.0
49000000000,14880.0
